Date : 2021-09-15 22:16:08
Directory : c:\Users\Neel Shettigar\Desktop\ReachTeens
Total : 1329 files,  331557 codes, 141720 comments, 66760 blanks, all 540037 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |      1,256 |    325,942 |    140,076 |     65,919 |    531,937 |
| C++              |         29 |      1,951 |        945 |        394 |      3,290 |
| C                |          2 |      1,720 |        298 |        211 |      2,229 |
| HTML             |         21 |      1,018 |         20 |         25 |      1,063 |
| JavaScript       |          1 |        304 |         17 |         39 |        360 |
| CSS              |          2 |        235 |          1 |         43 |        279 |
| Properties       |          3 |        122 |        101 |         58 |        281 |
| PowerShell       |          1 |        104 |        261 |         34 |        399 |
| pip requirements |          1 |         49 |          0 |          0 |         49 |
| Batch            |          3 |         41 |          0 |         18 |         59 |
| Markdown         |          3 |         41 |          0 |         18 |         59 |
| JSON             |          6 |         16 |          0 |          0 |         16 |
| XML              |          1 |         14 |          1 |          1 |         16 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                    |      1,329 |    331,557 |    141,720 |     66,760 |    540,037 |
| .vs                                                                                                                                  |          1 |          6 |          0 |          0 |          6 |
| venv                                                                                                                                 |      1,287 |    329,828 |    141,689 |     66,601 |    538,118 |
| venv\Include                                                                                                                         |          1 |         84 |         39 |         24 |        147 |
| venv\Include\site                                                                                                                    |          1 |         84 |         39 |         24 |        147 |
| venv\Include\site\python3.9                                                                                                          |          1 |         84 |         39 |         24 |        147 |
| venv\Include\site\python3.9\greenlet                                                                                                 |          1 |         84 |         39 |         24 |        147 |
| venv\Lib                                                                                                                             |      1,282 |    329,598 |    141,389 |     66,525 |    537,512 |
| venv\Lib\site-packages                                                                                                               |      1,282 |    329,598 |    141,389 |     66,525 |    537,512 |
| venv\Lib\site-packages\Flask_Bcrypt-0.7.1-py3.9.egg-info                                                                             |          1 |          6 |          0 |          0 |          6 |
| venv\Lib\site-packages\PIL                                                                                                           |         92 |     16,705 |      7,887 |      4,700 |     29,292 |
| venv\Lib\site-packages\_distutils_hack                                                                                               |          2 |         79 |         19 |         33 |        131 |
| venv\Lib\site-packages\bcrypt                                                                                                        |          2 |        127 |         51 |         43 |        221 |
| venv\Lib\site-packages\blinker                                                                                                       |          4 |        413 |        361 |        104 |        878 |
| venv\Lib\site-packages\cffi                                                                                                          |         20 |      7,226 |      1,270 |        923 |      9,419 |
| venv\Lib\site-packages\click                                                                                                         |         17 |      5,573 |      2,827 |      1,535 |      9,935 |
| venv\Lib\site-packages\colorama                                                                                                      |          6 |        579 |         70 |        124 |        773 |
| venv\Lib\site-packages\dns                                                                                                           |        121 |     11,567 |      6,708 |      2,989 |     21,264 |
| venv\Lib\site-packages\dns\rdtypes                                                                                                   |         70 |      2,886 |      1,240 |        923 |      5,049 |
| venv\Lib\site-packages\dns\rdtypes\ANY                                                                                               |         43 |      1,446 |        769 |        496 |      2,711 |
| venv\Lib\site-packages\dns\rdtypes\CH                                                                                                |          2 |         31 |         34 |         17 |         82 |
| venv\Lib\site-packages\dns\rdtypes\IN                                                                                                |         15 |        499 |        228 |        177 |        904 |
| venv\Lib\site-packages\email_validator                                                                                               |          1 |        295 |        181 |         93 |        569 |
| venv\Lib\site-packages\flask                                                                                                         |         21 |      3,814 |      3,538 |      1,115 |      8,467 |
| venv\Lib\site-packages\flask\json                                                                                                    |          2 |        283 |        262 |        119 |        664 |
| venv\Lib\site-packages\flask_login                                                                                                   |          9 |        851 |         91 |        264 |      1,206 |
| venv\Lib\site-packages\flask_sqlalchemy                                                                                              |          4 |        747 |        394 |        238 |      1,379 |
| venv\Lib\site-packages\flask_wtf                                                                                                     |         11 |        500 |        179 |        216 |        895 |
| venv\Lib\site-packages\flask_wtf\recaptcha                                                                                           |          4 |         93 |          5 |         41 |        139 |
| venv\Lib\site-packages\geonamescache                                                                                                 |          8 |        201 |         34 |         26 |        261 |
| venv\Lib\site-packages\greenlet                                                                                                      |         42 |      4,016 |      1,108 |        700 |      5,824 |
| venv\Lib\site-packages\greenlet\platform                                                                                             |         22 |        760 |        639 |        173 |      1,572 |
| venv\Lib\site-packages\greenlet\tests                                                                                                |         16 |      1,556 |        107 |        308 |      1,971 |
| venv\Lib\site-packages\idna                                                                                                          |          8 |     10,792 |        146 |        204 |     11,142 |
| venv\Lib\site-packages\idna-3.2.dist-info                                                                                            |          1 |         23 |          0 |          7 |         30 |
| venv\Lib\site-packages\itsdangerous                                                                                                  |          9 |        735 |        353 |        256 |      1,344 |
| venv\Lib\site-packages\jinja2                                                                                                        |         25 |      8,606 |      3,565 |      2,263 |     14,434 |
| venv\Lib\site-packages\markupsafe                                                                                                    |          3 |        204 |         86 |         85 |        375 |
| venv\Lib\site-packages\pip                                                                                                           |        390 |    107,918 |     24,807 |     14,449 |    147,174 |
| venv\Lib\site-packages\pip\_internal                                                                                                 |        139 |     16,879 |      6,206 |      4,132 |     27,217 |
| venv\Lib\site-packages\pip\_internal\cli                                                                                             |         12 |      1,869 |        520 |        429 |      2,818 |
| venv\Lib\site-packages\pip\_internal\commands                                                                                        |         16 |      2,126 |        414 |        467 |      3,007 |
| venv\Lib\site-packages\pip\_internal\distributions                                                                                   |          5 |        115 |         58 |         42 |        215 |
| venv\Lib\site-packages\pip\_internal\index                                                                                           |          4 |      1,071 |        479 |        248 |      1,798 |
| venv\Lib\site-packages\pip\_internal\locations                                                                                       |          4 |        354 |        116 |         96 |        566 |
| venv\Lib\site-packages\pip\_internal\metadata                                                                                        |          3 |        158 |         99 |         57 |        314 |
| venv\Lib\site-packages\pip\_internal\models                                                                                          |         11 |        632 |        251 |        183 |      1,066 |
| venv\Lib\site-packages\pip\_internal\network                                                                                         |          8 |        788 |        393 |        230 |      1,411 |
| venv\Lib\site-packages\pip\_internal\operations                                                                                      |         13 |      1,536 |        450 |        349 |      2,335 |
| venv\Lib\site-packages\pip\_internal\operations\build                                                                                |          5 |        178 |         36 |         48 |        262 |
| venv\Lib\site-packages\pip\_internal\operations\install                                                                              |          4 |        638 |        213 |        146 |        997 |
| venv\Lib\site-packages\pip\_internal\req                                                                                             |          7 |      1,976 |        616 |        402 |      2,994 |
| venv\Lib\site-packages\pip\_internal\resolution                                                                                      |         13 |      1,771 |        644 |        396 |      2,811 |
| venv\Lib\site-packages\pip\_internal\resolution\legacy                                                                               |          2 |        269 |        137 |         58 |        464 |
| venv\Lib\site-packages\pip\_internal\resolution\resolvelib                                                                           |          9 |      1,493 |        505 |        331 |      2,329 |
| venv\Lib\site-packages\pip\_internal\utils                                                                                           |         28 |      2,194 |      1,119 |        664 |      3,977 |
| venv\Lib\site-packages\pip\_internal\vcs                                                                                             |          6 |      1,045 |        506 |        217 |      1,768 |
| venv\Lib\site-packages\pip\_vendor                                                                                                   |        249 |     91,020 |     18,583 |     10,307 |    119,910 |
| venv\Lib\site-packages\pip\_vendor\cachecontrol                                                                                      |         13 |        738 |        268 |        265 |      1,271 |
| venv\Lib\site-packages\pip\_vendor\cachecontrol\caches                                                                               |          3 |        111 |         33 |         40 |        184 |
| venv\Lib\site-packages\pip\_vendor\certifi                                                                                           |          3 |         41 |         31 |         22 |         94 |
| venv\Lib\site-packages\pip\_vendor\chardet                                                                                           |         43 |     36,105 |      1,493 |        507 |     38,105 |
| venv\Lib\site-packages\pip\_vendor\chardet\cli                                                                                       |          2 |         43 |         31 |         13 |         87 |
| venv\Lib\site-packages\pip\_vendor\chardet\metadata                                                                                  |          2 |        242 |         61 |          9 |        312 |
| venv\Lib\site-packages\pip\_vendor\colorama                                                                                          |          6 |        579 |         70 |        124 |        773 |
| venv\Lib\site-packages\pip\_vendor\distlib                                                                                           |         19 |      9,591 |      3,150 |      1,735 |     14,476 |
| venv\Lib\site-packages\pip\_vendor\distlib\_backport                                                                                 |          6 |      2,698 |      1,030 |        566 |      4,294 |
| venv\Lib\site-packages\pip\_vendor\html5lib                                                                                          |         33 |     10,420 |      1,464 |      1,392 |     13,276 |
| venv\Lib\site-packages\pip\_vendor\html5lib\_trie                                                                                    |          3 |         77 |          2 |         36 |        115 |
| venv\Lib\site-packages\pip\_vendor\html5lib\filters                                                                                  |          8 |      1,094 |        186 |         96 |      1,376 |
| venv\Lib\site-packages\pip\_vendor\html5lib\treeadapters                                                                             |          3 |         82 |         32 |         23 |        137 |
| venv\Lib\site-packages\pip\_vendor\html5lib\treebuilders                                                                             |          5 |      1,003 |        222 |        259 |      1,484 |
| venv\Lib\site-packages\pip\_vendor\html5lib\treewalkers                                                                              |          6 |        556 |        165 |        149 |        870 |
| venv\Lib\site-packages\pip\_vendor\idna                                                                                              |          8 |     10,742 |         35 |        212 |     10,989 |
| venv\Lib\site-packages\pip\_vendor\msgpack                                                                                           |          5 |        928 |        312 |        148 |      1,388 |
| venv\Lib\site-packages\pip\_vendor\packaging                                                                                         |         11 |      1,716 |        858 |        582 |      3,156 |
| venv\Lib\site-packages\pip\_vendor\pep517                                                                                            |         11 |        884 |        279 |        254 |      1,417 |
| venv\Lib\site-packages\pip\_vendor\pep517\in_process                                                                                 |          2 |        180 |         62 |         57 |        299 |
| venv\Lib\site-packages\pip\_vendor\pkg_resources                                                                                     |          2 |      1,847 |        903 |        571 |      3,321 |
| venv\Lib\site-packages\pip\_vendor\progress                                                                                          |          4 |        214 |         56 |         86 |        356 |
| venv\Lib\site-packages\pip\_vendor\requests                                                                                          |         18 |      2,571 |      1,649 |        887 |      5,107 |
| venv\Lib\site-packages\pip\_vendor\resolvelib                                                                                        |          7 |        430 |        254 |        143 |        827 |
| venv\Lib\site-packages\pip\_vendor\resolvelib\compat                                                                                 |          2 |          5 |          0 |          3 |          8 |
| venv\Lib\site-packages\pip\_vendor\tenacity                                                                                          |         12 |        784 |        385 |        314 |      1,483 |
| venv\Lib\site-packages\pip\_vendor\toml                                                                                              |          5 |      1,198 |         97 |        135 |      1,430 |
| venv\Lib\site-packages\pip\_vendor\urllib3                                                                                           |         39 |      6,463 |      3,001 |      1,792 |     11,256 |
| venv\Lib\site-packages\pip\_vendor\urllib3\contrib                                                                                   |         10 |      1,879 |        684 |        478 |      3,041 |
| venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport                                                                  |          3 |        597 |        170 |        151 |        918 |
| venv\Lib\site-packages\pip\_vendor\urllib3\packages                                                                                  |          6 |        827 |        202 |        236 |      1,265 |
| venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports                                                                        |          2 |         38 |         11 |          4 |         53 |
| venv\Lib\site-packages\pip\_vendor\urllib3\packages\ssl_match_hostname                                                               |          2 |        101 |         58 |         25 |        184 |
| venv\Lib\site-packages\pip\_vendor\urllib3\util                                                                                      |         12 |      1,461 |        837 |        389 |      2,687 |
| venv\Lib\site-packages\pip\_vendor\webencodings                                                                                      |          5 |        769 |        241 |        105 |      1,115 |
| venv\Lib\site-packages\pkg_resources                                                                                                 |         17 |      6,590 |      4,325 |      1,731 |     12,646 |
| venv\Lib\site-packages\pkg_resources\_vendor                                                                                         |         14 |      4,711 |      3,410 |      1,155 |      9,276 |
| venv\Lib\site-packages\pkg_resources\_vendor\packaging                                                                               |         11 |      1,570 |        803 |        550 |      2,923 |
| venv\Lib\site-packages\pkg_resources\extern                                                                                          |          1 |         46 |         15 |         13 |         74 |
| venv\Lib\site-packages\pkg_resources\tests                                                                                           |          1 |          6 |          0 |          1 |          7 |
| venv\Lib\site-packages\pkg_resources\tests\data                                                                                      |          1 |          6 |          0 |          1 |          7 |
| venv\Lib\site-packages\pkg_resources\tests\data\my-test-package-source                                                               |          1 |          6 |          0 |          1 |          7 |
| venv\Lib\site-packages\pycparser                                                                                                     |         18 |      6,397 |      2,892 |      1,587 |     10,876 |
| venv\Lib\site-packages\pycparser\ply                                                                                                 |          6 |      3,481 |      1,392 |        843 |      5,716 |
| venv\Lib\site-packages\setuptools                                                                                                    |        120 |     23,289 |     10,886 |      5,573 |     39,748 |
| venv\Lib\site-packages\setuptools\_distutils                                                                                         |         54 |     10,052 |      4,482 |      2,340 |     16,874 |
| venv\Lib\site-packages\setuptools\_distutils\command                                                                                 |         24 |      4,332 |      1,229 |        929 |      6,490 |
| venv\Lib\site-packages\setuptools\_vendor                                                                                            |         14 |      4,564 |      3,462 |      1,130 |      9,156 |
| venv\Lib\site-packages\setuptools\_vendor\packaging                                                                                  |         11 |      1,570 |        803 |        550 |      2,923 |
| venv\Lib\site-packages\setuptools\command                                                                                            |         25 |      4,189 |        987 |        900 |      6,076 |
| venv\Lib\site-packages\setuptools\extern                                                                                             |          1 |         46 |         15 |         13 |         74 |
| venv\Lib\site-packages\sqlalchemy                                                                                                    |        235 |     94,423 |     60,451 |     22,766 |    177,640 |
| venv\Lib\site-packages\sqlalchemy\connectors                                                                                         |          3 |        226 |         86 |         60 |        372 |
| venv\Lib\site-packages\sqlalchemy\databases                                                                                          |          1 |         22 |         10 |          7 |         39 |
| venv\Lib\site-packages\sqlalchemy\dialects                                                                                           |         63 |     17,959 |     10,897 |      4,039 |     32,895 |
| venv\Lib\site-packages\sqlalchemy\dialects\firebird                                                                                  |          4 |        819 |        361 |        168 |      1,348 |
| venv\Lib\site-packages\sqlalchemy\dialects\mssql                                                                                     |          8 |      2,668 |      1,495 |        567 |      4,730 |
| venv\Lib\site-packages\sqlalchemy\dialects\mysql                                                                                     |         18 |      4,188 |      2,296 |        952 |      7,436 |
| venv\Lib\site-packages\sqlalchemy\dialects\oracle                                                                                    |          4 |      2,376 |      1,150 |        527 |      4,053 |
| venv\Lib\site-packages\sqlalchemy\dialects\postgresql                                                                                |         15 |      4,907 |      3,611 |      1,198 |      9,716 |
| venv\Lib\site-packages\sqlalchemy\dialects\sqlite                                                                                    |          8 |      2,030 |      1,697 |        411 |      4,138 |
| venv\Lib\site-packages\sqlalchemy\dialects\sybase                                                                                    |          5 |        925 |        271 |        205 |      1,401 |
| venv\Lib\site-packages\sqlalchemy\engine                                                                                             |         15 |      6,836 |      6,529 |      1,802 |     15,167 |
| venv\Lib\site-packages\sqlalchemy\event                                                                                              |          6 |        866 |        387 |        266 |      1,519 |
| venv\Lib\site-packages\sqlalchemy\ext                                                                                                |         29 |      5,392 |      5,645 |      1,420 |     12,457 |
| venv\Lib\site-packages\sqlalchemy\ext\asyncio                                                                                        |          8 |        890 |        958 |        281 |      2,129 |
| venv\Lib\site-packages\sqlalchemy\ext\declarative                                                                                    |          2 |        195 |        277 |         52 |        524 |
| venv\Lib\site-packages\sqlalchemy\ext\mypy                                                                                           |          7 |      1,453 |        308 |        300 |      2,061 |
| venv\Lib\site-packages\sqlalchemy\future                                                                                             |          3 |         92 |        327 |         38 |        457 |
| venv\Lib\site-packages\sqlalchemy\future\orm                                                                                         |          1 |          0 |          9 |          2 |         11 |
| venv\Lib\site-packages\sqlalchemy\orm                                                                                                |         32 |     25,534 |     15,922 |      5,565 |     47,021 |
| venv\Lib\site-packages\sqlalchemy\pool                                                                                               |          5 |        937 |        800 |        253 |      1,990 |
| venv\Lib\site-packages\sqlalchemy\sql                                                                                                |         24 |     21,175 |     16,974 |      5,312 |     43,461 |
| venv\Lib\site-packages\sqlalchemy\testing                                                                                            |         36 |     11,347 |      1,599 |      2,806 |     15,752 |
| venv\Lib\site-packages\sqlalchemy\testing\plugin                                                                                     |          5 |      1,152 |        194 |        384 |      1,730 |
| venv\Lib\site-packages\sqlalchemy\testing\suite                                                                                      |         14 |      6,060 |        206 |      1,111 |      7,377 |
| venv\Lib\site-packages\sqlalchemy\util                                                                                               |         10 |      3,177 |        851 |        929 |      4,957 |
| venv\Lib\site-packages\werkzeug                                                                                                      |         51 |     13,997 |      7,077 |      3,215 |     24,289 |
| venv\Lib\site-packages\werkzeug\debug                                                                                                |          7 |      1,563 |        275 |        288 |      2,126 |
| venv\Lib\site-packages\werkzeug\debug\shared                                                                                         |          3 |        450 |         18 |         63 |        531 |
| venv\Lib\site-packages\werkzeug\middleware                                                                                           |          7 |        812 |        391 |        200 |      1,403 |
| venv\Lib\site-packages\werkzeug\sansio                                                                                               |          5 |        942 |        468 |        201 |      1,611 |
| venv\Lib\site-packages\werkzeug\wrappers                                                                                             |         12 |        899 |        696 |        200 |      1,795 |
| venv\Lib\site-packages\wtforms                                                                                                       |         41 |      2,742 |      1,837 |        939 |      5,518 |
| venv\Lib\site-packages\wtforms\csrf                                                                                                  |          3 |         83 |         70 |         36 |        189 |
| venv\Lib\site-packages\wtforms\ext                                                                                                   |         23 |      1,169 |        799 |        397 |      2,365 |
| venv\Lib\site-packages\wtforms\ext\appengine                                                                                         |          4 |        413 |        539 |        157 |      1,109 |
| venv\Lib\site-packages\wtforms\ext\csrf                                                                                              |          4 |         74 |         47 |         34 |        155 |
| venv\Lib\site-packages\wtforms\ext\dateutil                                                                                          |          2 |         66 |         20 |         19 |        105 |
| venv\Lib\site-packages\wtforms\ext\django                                                                                            |          6 |        257 |         79 |         83 |        419 |
| venv\Lib\site-packages\wtforms\ext\django\templatetags                                                                               |          2 |         51 |         12 |         19 |         82 |
| venv\Lib\site-packages\wtforms\ext\i18n                                                                                              |          3 |         32 |         26 |         12 |         70 |
| venv\Lib\site-packages\wtforms\ext\sqlalchemy                                                                                        |          3 |        327 |         88 |         91 |        506 |
| venv\Lib\site-packages\wtforms\fields                                                                                                |          4 |        667 |        363 |        218 |      1,248 |
| venv\Lib\site-packages\wtforms\locale                                                                                                |          1 |         14 |          0 |          8 |         22 |
| venv\Lib\site-packages\wtforms\widgets                                                                                               |          3 |        213 |        154 |         89 |        456 |
| venv\Scripts                                                                                                                         |          3 |        143 |        261 |         51 |        455 |
| webApp                                                                                                                               |         39 |      1,670 |         31 |        157 |      1,858 |
| webApp\errors                                                                                                                        |          2 |         11 |          0 |          5 |         16 |
| webApp\main                                                                                                                          |          2 |         12 |          0 |          4 |         16 |
| webApp\posts                                                                                                                         |          3 |         56 |          0 |         10 |         66 |
| webApp\static                                                                                                                        |          1 |         93 |          0 |         22 |        115 |
| webApp\surveys                                                                                                                       |          3 |         65 |          0 |         13 |         78 |
| webApp\templates                                                                                                                     |         21 |      1,018 |         20 |         25 |      1,063 |
| webApp\templates\errors                                                                                                              |          3 |         21 |          0 |          0 |         21 |
| webApp\users                                                                                                                         |          4 |        306 |          8 |         57 |        371 |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                             | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\Neel Shettigar\Desktop\ReachTeens\.vs\VSWorkspaceState.json                                                                 | JSON             |          6 |          0 |          0 |          6 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\requirements.txt                                                                          | pip requirements |         49 |          0 |          0 |         49 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\run.py                                                                                    | Python           |          4 |          0 |          2 |          6 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Include\site\python3.9\greenlet\greenlet.h                                           | C++              |         84 |         39 |         24 |        147 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\Flask_Bcrypt-0.7.1-py3.9.egg-info\version_info.json                | JSON             |          6 |          0 |          0 |          6 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\BdfFontFile.py                                                 | Python           |         64 |         26 |         21 |        111 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\BlpImagePlugin.py                                              | Python           |        289 |         52 |         88 |        429 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\BmpImagePlugin.py                                              | Python           |        244 |         78 |         57 |        379 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\BufrStubImagePlugin.py                                         | Python           |         29 |         20 |         25 |         74 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\ContainerIO.py                                                 | Python           |         49 |         59 |         13 |        121 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\CurImagePlugin.py                                              | Python           |         29 |         27 |         20 |         76 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\DcxImagePlugin.py                                              | Python           |         44 |         26 |         20 |         90 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\DdsImagePlugin.py                                              | Python           |        187 |         23 |         38 |        248 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\EpsImagePlugin.py                                              | Python           |        245 |         84 |         81 |        410 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\ExifTags.py                                                    | Python           |        309 |         17 |          6 |        332 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\FitsStubImagePlugin.py                                         | Python           |         55 |         21 |         25 |        101 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\FliImagePlugin.py                                              | Python           |         98 |         34 |         40 |        172 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\FontFile.py                                                    | Python           |         64 |         24 |         24 |        112 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\FpxImagePlugin.py                                              | Python           |        128 |         55 |         60 |        243 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\FtexImagePlugin.py                                             | Python           |         35 |         54 |         18 |        107 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\GbrImagePlugin.py                                              | Python           |         45 |         32 |         24 |        101 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\GdImageFile.py                                                 | Python           |         30 |         42 |         19 |         91 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\GifImagePlugin.py                                              | Python           |        565 |        199 |        155 |        919 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\GimpGradientFile.py                                            | Python           |         71 |         23 |         47 |        141 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\GimpPaletteFile.py                                             | Python           |         23 |         17 |         17 |         57 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\GribStubImagePlugin.py                                         | Python           |         29 |         20 |         25 |         74 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\Hdf5StubImagePlugin.py                                         | Python           |         29 |         20 |         25 |         74 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\IcnsImagePlugin.py                                             | Python           |        277 |         57 |         53 |        387 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\IcoImagePlugin.py                                              | Python           |        189 |         90 |         61 |        340 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\ImImagePlugin.py                                               | Python           |        236 |         65 |         76 |        377 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\Image.py                                                       | Python           |      1,787 |      1,278 |        540 |      3,605 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\ImageChops.py                                                  | Python           |         77 |        187 |         65 |        329 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\ImageCms.py                                                    | Python           |        326 |        567 |        107 |      1,000 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\ImageColor.py                                                  | Python           |        235 |         44 |         22 |        301 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\ImageDraw.py                                                   | Python           |        713 |        178 |         94 |        985 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\ImageDraw2.py                                                  | Python           |         65 |         86 |         29 |        180 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\ImageEnhance.py                                                | Python           |         30 |         54 |         20 |        104 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\ImageFile.py                                                   | Python           |        398 |        193 |        109 |        700 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\ImageFilter.py                                                 | Python           |        280 |        170 |         89 |        539 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\ImageFont.py                                                   | Python           |        331 |        659 |         71 |      1,061 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\ImageGrab.py                                                   | Python           |         90 |         18 |         13 |        121 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\ImageMath.py                                                   | Python           |        149 |         43 |         62 |        254 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\ImageMode.py                                                   | Python           |         45 |         22 |          8 |         75 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\PIL\ImageMorph.py                                                  | Python           |        127 |         81 |         38 |        246 |
